date_local,weekday,is_weekend,is_public_holiday,holiday_name,holiday_kind,date_uncertainty_days,is_ramadan,ramadan_day,is_school_break,school_break_name,confidence,school_break_confidence
2024-09-29,6,1,0,,,0,0,,0,,observed,
2024-09-30,0,0,0,,,0,0,,0,,observed,
2024-10-01,1,0,0,,,0,0,,0,,observed,
2024-10-02,2,0,0,,,0,0,,0,,observed,
2024-10-03,3,0,0,,,0,0,,0,,observed,
2024-10-04,4,0,0,,,0,0,,0,,observed,
2024-10-05,5,1,0,,,0,0,,0,,observed,
2024-10-06,6,1,0,,,0,0,,0,,observed,
2024-10-07,0,0,0,,,0,0,,0,,observed,
2024-10-08,1,0,0,,,0,0,,0,,observed,
2024-10-09,2,0,0,,,0,0,,0,,observed,
2024-10-10,3,0,0,,,0,0,,0,,observed,
2024-10-11,4,0,0,,,0,0,,0,,observed,
2024-10-12,5,1,0,,,0,0,,0,,observed,
2024-10-13,6,1,0,,,0,0,,0,,observed,
2024-10-14,0,0,0,,,0,0,,0,,observed,
2024-10-15,1,0,0,,,0,0,,0,,observed,
2024-10-16,2,0,0,,,0,0,,0,,observed,
2024-10-17,3,0,0,,,0,0,,0,,observed,
2024-10-18,4,0,0,,,0,0,,0,,observed,
2024-10-19,5,1,0,,,0,0,,0,,observed,
2024-10-20,6,1,0,,,0,0,,0,,observed,
2024-10-21,0,0,0,,,0,0,,0,,observed,
2024-10-22,1,0,0,,,0,0,,0,,observed,
2024-10-23,2,0,0,,,0,0,,0,,observed,
2024-10-24,3,0,0,,,0,0,,0,,observed,
2024-10-25,4,0,0,,,0,0,,0,,observed,
2024-10-26,5,1,0,,,0,0,,0,,observed,
2024-10-27,6,1,0,,,0,0,,0,,observed,
2024-10-28,0,0,0,,,0,0,,0,,observed,
2024-10-29,1,0,0,,,0,0,,0,,observed,
2024-10-30,2,0,0,,,0,0,,0,,observed,
2024-10-31,3,0,0,,,0,0,,0,,observed,
2024-11-01,4,0,0,,,0,0,,0,,observed,
2024-11-02,5,1,0,,,0,0,,0,,observed,
2024-11-03,6,1,0,,,0,0,,0,,observed,
2024-11-04,0,0,0,,,0,0,,0,,observed,
2024-11-05,1,0,0,,,0,0,,0,,observed,
2024-11-06,2,0,0,,,0,0,,0,,observed,
2024-11-07,3,0,0,,,0,0,,0,,observed,
2024-11-08,4,0,0,,,0,0,,0,,observed,
2024-11-09,5,1,0,,,0,0,,0,,observed,
2024-11-10,6,1,0,,,0,0,,0,,observed,
2024-11-11,0,0,0,,,0,0,,0,,observed,
2024-11-12,1,0,0,,,0,0,,0,,observed,
2024-11-13,2,0,0,,,0,0,,0,,observed,
2024-11-14,3,0,0,,,0,0,,0,,observed,
2024-11-15,4,0,0,,,0,0,,0,,observed,
2024-11-16,5,1,0,,,0,0,,0,,observed,
2024-11-17,6,1,0,,,0,0,,0,,observed,
2024-11-18,0,0,0,,,0,0,,0,,observed,
2024-11-19,1,0,0,,,0,0,,0,,observed,
2024-11-20,2,0,0,,,0,0,,0,,observed,
2024-11-21,3,0,0,,,0,0,,0,,observed,
2024-11-22,4,0,0,,,0,0,,0,,observed,
2024-11-23,5,1,0,,,0,0,,0,,observed,
2024-11-24,6,1,0,,,0,0,,0,,observed,
2024-11-25,0,0,0,,,0,0,,0,,observed,
2024-11-26,1,0,0,,,0,0,,0,,observed,
2024-11-27,2,0,0,,,0,0,,0,,observed,
2024-11-28,3,0,0,,,0,0,,0,,observed,
2024-11-29,4,0,0,,,0,0,,0,,observed,
2024-11-30,5,1,0,,,0,0,,0,,observed,
2024-12-01,6,1,0,,,0,0,,0,,observed,
2024-12-02,0,0,1,UAE National Day,gregorian,0,0,,0,,observed,
2024-12-03,1,0,1,UAE National Day,gregorian,0,0,,0,,observed,
2024-12-04,2,0,0,,,0,0,,0,,observed,
2024-12-05,3,0,0,,,0,0,,0,,observed,
2024-12-06,4,0,0,,,0,0,,0,,observed,
2024-12-07,5,1,0,,,0,0,,0,,observed,
2024-12-08,6,1,0,,,0,0,,0,,observed,
2024-12-09,0,0,0,,,0,0,,0,,observed,
2024-12-10,1,0,0,,,0,0,,0,,observed,
2024-12-11,2,0,0,,,0,0,,0,,observed,
2024-12-12,3,0,0,,,0,0,,0,,observed,
2024-12-13,4,0,0,,,0,0,,0,,observed,
2024-12-14,5,1,0,,,0,0,,0,,observed,
2024-12-15,6,1,0,,,0,0,,1,Winter break,observed,approximate
2024-12-16,0,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-17,1,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-18,2,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-19,3,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-20,4,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-21,5,1,0,,,0,0,,1,Winter break,observed,approximate
2024-12-22,6,1,0,,,0,0,,1,Winter break,observed,approximate
2024-12-23,0,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-24,1,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-25,2,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-26,3,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-27,4,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-28,5,1,0,,,0,0,,1,Winter break,observed,approximate
2024-12-29,6,1,0,,,0,0,,1,Winter break,observed,approximate
2024-12-30,0,0,0,,,0,0,,1,Winter break,observed,approximate
2024-12-31,1,0,0,,,0,0,,1,Winter break,observed,approximate
2025-01-01,2,0,1,New Year's Day,gregorian,0,0,,1,Winter break,observed,approximate
2025-01-02,3,0,0,,,0,0,,1,Winter break,observed,approximate
2025-01-03,4,0,0,,,0,0,,0,,observed,
2025-01-04,5,1,0,,,0,0,,0,,observed,
2025-01-05,6,1,0,,,0,0,,0,,observed,
2025-01-06,0,0,0,,,0,0,,0,,observed,
2025-01-07,1,0,0,,,0,0,,0,,observed,
2025-01-08,2,0,0,,,0,0,,0,,observed,
2025-01-09,3,0,0,,,0,0,,0,,observed,
2025-01-10,4,0,0,,,0,0,,0,,observed,
2025-01-11,5,1,0,,,0,0,,0,,observed,
2025-01-12,6,1,0,,,0,0,,0,,observed,
2025-01-13,0,0,0,,,0,0,,0,,observed,
2025-01-14,1,0,0,,,0,0,,0,,observed,
2025-01-15,2,0,0,,,0,0,,0,,observed,
2025-01-16,3,0,0,,,0,0,,0,,observed,
2025-01-17,4,0,0,,,0,0,,0,,observed,
2025-01-18,5,1,0,,,0,0,,0,,observed,
2025-01-19,6,1,0,,,0,0,,0,,observed,
2025-01-20,0,0,0,,,0,0,,0,,observed,
2025-01-21,1,0,0,,,0,0,,0,,observed,
2025-01-22,2,0,0,,,0,0,,0,,observed,
2025-01-23,3,0,0,,,0,0,,0,,observed,
2025-01-24,4,0,0,,,0,0,,0,,observed,
2025-01-25,5,1,0,,,0,0,,0,,observed,
2025-01-26,6,1,0,,,0,0,,0,,observed,
2025-01-27,0,0,0,,,0,0,,0,,observed,
2025-01-28,1,0,0,,,0,0,,0,,observed,
2025-01-29,2,0,0,,,0,0,,0,,observed,
2025-01-30,3,0,0,,,0,0,,0,,observed,
2025-01-31,4,0,0,,,0,0,,0,,observed,
2025-02-01,5,1,0,,,0,0,,0,,observed,
2025-02-02,6,1,0,,,0,0,,0,,observed,
2025-02-03,0,0,0,,,0,0,,0,,observed,
2025-02-04,1,0,0,,,0,0,,0,,observed,
2025-02-05,2,0,0,,,0,0,,0,,observed,
2025-02-06,3,0,0,,,0,0,,0,,observed,
2025-02-07,4,0,0,,,0,0,,0,,observed,
2025-02-08,5,1,0,,,0,0,,0,,observed,
2025-02-09,6,1,0,,,0,0,,0,,observed,
2025-02-10,0,0,0,,,0,0,,0,,observed,
2025-02-11,1,0,0,,,0,0,,0,,observed,
2025-02-12,2,0,0,,,0,0,,0,,observed,
2025-02-13,3,0,0,,,0,0,,0,,observed,
2025-02-14,4,0,0,,,0,0,,0,,observed,
2025-02-15,5,1,0,,,0,0,,0,,observed,
2025-02-16,6,1,0,,,0,0,,0,,observed,
2025-02-17,0,0,0,,,0,0,,0,,observed,
2025-02-18,1,0,0,,,0,0,,0,,observed,
2025-02-19,2,0,0,,,0,0,,0,,observed,
2025-02-20,3,0,0,,,0,0,,0,,observed,
2025-02-21,4,0,0,,,0,0,,0,,observed,
2025-02-22,5,1,0,,,0,0,,0,,observed,
2025-02-23,6,1,0,,,0,0,,0,,observed,
2025-02-24,0,0,0,,,0,0,,0,,observed,
2025-02-25,1,0,0,,,0,0,,0,,observed,
2025-02-26,2,0,0,,,0,0,,0,,observed,
2025-02-27,3,0,0,,,0,0,,0,,observed,
2025-02-28,4,0,0,,,0,0,,0,,observed,
2025-03-01,5,1,0,,,0,1,1,0,,observed,
2025-03-02,6,1,0,,,0,1,2,0,,observed,
2025-03-03,0,0,0,,,0,1,3,0,,observed,
2025-03-04,1,0,0,,,0,1,4,0,,observed,
2025-03-05,2,0,0,,,0,1,5,0,,observed,
2025-03-06,3,0,0,,,0,1,6,0,,observed,
2025-03-07,4,0,0,,,0,1,7,0,,observed,
2025-03-08,5,1,0,,,0,1,8,0,,observed,
2025-03-09,6,1,0,,,0,1,9,0,,observed,
2025-03-10,0,0,0,,,0,1,10,0,,observed,
2025-03-11,1,0,0,,,0,1,11,0,,observed,
2025-03-12,2,0,0,,,0,1,12,0,,observed,
2025-03-13,3,0,0,,,0,1,13,0,,observed,
2025-03-14,4,0,0,,,0,1,14,0,,observed,
2025-03-15,5,1,0,,,0,1,15,0,,observed,
2025-03-16,6,1,0,,,0,1,16,0,,observed,
2025-03-17,0,0,0,,,0,1,17,0,,observed,
2025-03-18,1,0,0,,,0,1,18,1,Spring break,observed,approximate
2025-03-19,2,0,0,,,0,1,19,1,Spring break,observed,approximate
2025-03-20,3,0,0,,,0,1,20,1,Spring break,observed,approximate
2025-03-21,4,0,0,,,0,1,21,1,Spring break,observed,approximate
2025-03-22,5,1,0,,,0,1,22,1,Spring break,observed,approximate
2025-03-23,6,1,0,,,0,1,23,1,Spring break,observed,approximate
2025-03-24,0,0,0,,,0,1,24,1,Spring break,observed,approximate
2025-03-25,1,0,0,,,0,1,25,1,Spring break,observed,approximate
2025-03-26,2,0,0,,,0,1,26,1,Spring break,observed,approximate
2025-03-27,3,0,0,,,0,1,27,1,Spring break,observed,approximate
2025-03-28,4,0,0,,,0,1,28,1,Spring break,observed,approximate
2025-03-29,5,1,0,,,0,1,29,1,Spring break,observed,approximate
2025-03-30,6,1,1,Eid al-Fitr,islamic,1,0,,1,Spring break,calculated,approximate
2025-03-31,0,0,1,Eid al-Fitr,islamic,1,0,,1,Spring break,calculated,approximate
2025-04-01,1,0,1,Eid al-Fitr,islamic,1,0,,1,Spring break,calculated,approximate
2025-04-02,2,0,0,,,0,0,,0,,observed,
2025-04-03,3,0,0,,,0,0,,0,,observed,
2025-04-04,4,0,0,,,0,0,,0,,observed,
2025-04-05,5,1,0,,,0,0,,0,,observed,
2025-04-06,6,1,0,,,0,0,,0,,observed,
2025-04-07,0,0,0,,,0,0,,0,,observed,
2025-04-08,1,0,0,,,0,0,,0,,observed,
2025-04-09,2,0,0,,,0,0,,0,,observed,
2025-04-10,3,0,0,,,0,0,,0,,observed,
2025-04-11,4,0,0,,,0,0,,0,,observed,
2025-04-12,5,1,0,,,0,0,,0,,observed,
2025-04-13,6,1,0,,,0,0,,0,,observed,
2025-04-14,0,0,0,,,0,0,,0,,observed,
2025-04-15,1,0,0,,,0,0,,0,,observed,
2025-04-16,2,0,0,,,0,0,,0,,observed,
2025-04-17,3,0,0,,,0,0,,0,,observed,
2025-04-18,4,0,0,,,0,0,,0,,observed,
2025-04-19,5,1,0,,,0,0,,0,,observed,
2025-04-20,6,1,0,,,0,0,,0,,observed,
2025-04-21,0,0,0,,,0,0,,0,,observed,
2025-04-22,1,0,0,,,0,0,,0,,observed,
2025-04-23,2,0,0,,,0,0,,0,,observed,
2025-04-24,3,0,0,,,0,0,,0,,observed,
2025-04-25,4,0,0,,,0,0,,0,,observed,
2025-04-26,5,1,0,,,0,0,,0,,observed,
2025-04-27,6,1,0,,,0,0,,0,,observed,
2025-04-28,0,0,0,,,0,0,,0,,observed,
2025-04-29,1,0,0,,,0,0,,0,,observed,
2025-04-30,2,0,0,,,0,0,,0,,observed,
2025-05-01,3,0,0,,,0,0,,0,,observed,
2025-05-02,4,0,0,,,0,0,,0,,observed,
2025-05-03,5,1,0,,,0,0,,0,,observed,
2025-05-04,6,1,0,,,0,0,,0,,observed,
2025-05-05,0,0,0,,,0,0,,0,,observed,
2025-05-06,1,0,0,,,0,0,,0,,observed,
2025-05-07,2,0,0,,,0,0,,0,,observed,
2025-05-08,3,0,0,,,0,0,,0,,observed,
2025-05-09,4,0,0,,,0,0,,0,,observed,
2025-05-10,5,1,0,,,0,0,,0,,observed,
2025-05-11,6,1,0,,,0,0,,0,,observed,
2025-05-12,0,0,0,,,0,0,,0,,observed,
2025-05-13,1,0,0,,,0,0,,0,,observed,
2025-05-14,2,0,0,,,0,0,,0,,observed,
2025-05-15,3,0,0,,,0,0,,0,,observed,
2025-05-16,4,0,0,,,0,0,,0,,observed,
2025-05-17,5,1,0,,,0,0,,0,,observed,
2025-05-18,6,1,0,,,0,0,,0,,observed,
2025-05-19,0,0,0,,,0,0,,0,,observed,
2025-05-20,1,0,0,,,0,0,,0,,observed,
2025-05-21,2,0,0,,,0,0,,0,,observed,
2025-05-22,3,0,0,,,0,0,,0,,observed,
2025-05-23,4,0,0,,,0,0,,0,,observed,
2025-05-24,5,1,0,,,0,0,,0,,observed,
2025-05-25,6,1,0,,,0,0,,0,,observed,
2025-05-26,0,0,0,,,0,0,,0,,observed,
2025-05-27,1,0,0,,,0,0,,0,,observed,
2025-05-28,2,0,0,,,0,0,,0,,observed,
2025-05-29,3,0,0,,,0,0,,0,,observed,
2025-05-30,4,0,0,,,0,0,,0,,observed,
2025-05-31,5,1,0,,,0,0,,0,,observed,
2025-06-01,6,1,0,,,0,0,,0,,observed,
2025-06-02,0,0,0,,,0,0,,0,,observed,
2025-06-03,1,0,0,,,0,0,,0,,observed,
2025-06-04,2,0,0,,,0,0,,0,,observed,
2025-06-05,3,0,1,Arafah Day,islamic,1,0,,0,,calculated,
2025-06-06,4,0,1,Eid al-Adha,islamic,1,0,,0,,calculated,
2025-06-07,5,1,1,Eid al-Adha,islamic,1,0,,0,,calculated,
2025-06-08,6,1,1,Eid al-Adha,islamic,1,0,,0,,calculated,
2025-06-09,0,0,0,,,0,0,,0,,observed,
2025-06-10,1,0,0,,,0,0,,0,,observed,
2025-06-11,2,0,0,,,0,0,,0,,observed,
2025-06-12,3,0,0,,,0,0,,0,,observed,
2025-06-13,4,0,0,,,0,0,,0,,observed,
2025-06-14,5,1,0,,,0,0,,0,,observed,
2025-06-15,6,1,0,,,0,0,,0,,observed,
2025-06-16,0,0,0,,,0,0,,0,,observed,
2025-06-17,1,0,0,,,0,0,,0,,observed,
2025-06-18,2,0,0,,,0,0,,0,,observed,
2025-06-19,3,0,0,,,0,0,,0,,observed,
2025-06-20,4,0,0,,,0,0,,0,,observed,
2025-06-21,5,1,0,,,0,0,,0,,observed,
2025-06-22,6,1,0,,,0,0,,0,,observed,
2025-06-23,0,0,0,,,0,0,,0,,observed,
2025-06-24,1,0,0,,,0,0,,0,,observed,
2025-06-25,2,0,0,,,0,0,,0,,observed,
2025-06-26,3,0,1,Islamic New Year,islamic,1,0,,0,,calculated,
2025-06-27,4,0,0,,,0,0,,0,,observed,
2025-06-28,5,1,0,,,0,0,,0,,observed,
2025-06-29,6,1,0,,,0,0,,0,,observed,
2025-06-30,0,0,0,,,0,0,,0,,observed,
2025-07-01,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-02,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-03,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-04,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-05,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-06,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-07,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-08,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-09,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-10,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-11,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-12,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-13,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-14,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-15,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-16,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-17,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-18,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-19,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-20,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-21,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-22,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-23,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-24,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-25,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-26,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-27,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-07-28,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-29,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-30,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-07-31,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-01,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-02,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-03,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-04,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-05,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-06,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-07,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-08,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-09,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-10,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-11,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-12,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-13,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-14,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-15,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-16,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-17,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-18,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-19,1,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-20,2,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-21,3,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-22,4,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-23,5,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-24,6,1,0,,,0,0,,1,Summer break,observed,approximate
2025-08-25,0,0,0,,,0,0,,1,Summer break,observed,approximate
2025-08-26,1,0,0,,,0,0,,0,,observed,
2025-08-27,2,0,0,,,0,0,,0,,observed,
2025-08-28,3,0,0,,,0,0,,0,,observed,
2025-08-29,4,0,0,,,0,0,,0,,observed,
2025-08-30,5,1,0,,,0,0,,0,,observed,
2025-08-31,6,1,0,,,0,0,,0,,observed,
2025-09-01,0,0,0,,,0,0,,0,,observed,
2025-09-02,1,0,0,,,0,0,,0,,observed,
2025-09-03,2,0,0,,,0,0,,0,,observed,
2025-09-04,3,0,1,Prophet Muhammad's birthday,islamic,1,0,,0,,calculated,
2025-09-05,4,0,0,,,0,0,,0,,observed,
2025-09-06,5,1,0,,,0,0,,0,,observed,
2025-09-07,6,1,0,,,0,0,,0,,observed,
2025-09-08,0,0,0,,,0,0,,0,,observed,
2025-09-09,1,0,0,,,0,0,,0,,observed,
2025-09-10,2,0,0,,,0,0,,0,,observed,
2025-09-11,3,0,0,,,0,0,,0,,observed,
2025-09-12,4,0,0,,,0,0,,0,,observed,
2025-09-13,5,1,0,,,0,0,,0,,observed,
2025-09-14,6,1,0,,,0,0,,0,,observed,
2025-09-15,0,0,0,,,0,0,,0,,observed,
2025-09-16,1,0,0,,,0,0,,0,,observed,
2025-09-17,2,0,0,,,0,0,,0,,observed,
2025-09-18,3,0,0,,,0,0,,0,,observed,
2025-09-19,4,0,0,,,0,0,,0,,observed,
2025-09-20,5,1,0,,,0,0,,0,,observed,
2025-09-21,6,1,0,,,0,0,,0,,observed,
2025-09-22,0,0,0,,,0,0,,0,,observed,
2025-09-23,1,0,0,,,0,0,,0,,observed,
2025-09-24,2,0,0,,,0,0,,0,,observed,
2025-09-25,3,0,0,,,0,0,,0,,observed,
2025-09-26,4,0,0,,,0,0,,0,,observed,
2025-09-27,5,1,0,,,0,0,,0,,observed,
2025-09-28,6,1,0,,,0,0,,0,,observed,
2025-09-29,0,0,0,,,0,0,,0,,observed,
2025-09-30,1,0,0,,,0,0,,0,,observed,
2025-10-01,2,0,0,,,0,0,,0,,observed,
2025-10-02,3,0,0,,,0,0,,0,,observed,
2025-10-03,4,0,0,,,0,0,,0,,observed,
2025-10-04,5,1,0,,,0,0,,0,,observed,
2025-10-05,6,1,0,,,0,0,,0,,observed,
2025-10-06,0,0,0,,,0,0,,0,,observed,
2025-10-07,1,0,0,,,0,0,,0,,observed,
2025-10-08,2,0,0,,,0,0,,0,,observed,
2025-10-09,3,0,0,,,0,0,,0,,observed,
2025-10-10,4,0,0,,,0,0,,0,,observed,
2025-10-11,5,1,0,,,0,0,,0,,observed,
2025-10-12,6,1,0,,,0,0,,0,,observed,
2025-10-13,0,0,0,,,0,0,,0,,observed,
2025-10-14,1,0,0,,,0,0,,0,,observed,
2025-10-15,2,0,0,,,0,0,,0,,observed,
2025-10-16,3,0,0,,,0,0,,0,,observed,
2025-10-17,4,0,0,,,0,0,,0,,observed,
2025-10-18,5,1,0,,,0,0,,0,,observed,
2025-10-19,6,1,0,,,0,0,,0,,observed,
2025-10-20,0,0,0,,,0,0,,0,,observed,
2025-10-21,1,0,0,,,0,0,,0,,observed,
2025-10-22,2,0,0,,,0,0,,0,,observed,
2025-10-23,3,0,0,,,0,0,,0,,observed,
2025-10-24,4,0,0,,,0,0,,0,,observed,
2025-10-25,5,1,0,,,0,0,,0,,observed,
2025-10-26,6,1,0,,,0,0,,0,,observed,
2025-10-27,0,0,0,,,0,0,,0,,observed,
2025-10-28,1,0,0,,,0,0,,0,,observed,
2025-10-29,2,0,0,,,0,0,,0,,observed,
2025-10-30,3,0,0,,,0,0,,0,,observed,
2025-10-31,4,0,0,,,0,0,,0,,observed,
2025-11-01,5,1,0,,,0,0,,0,,observed,
2025-11-02,6,1,0,,,0,0,,0,,observed,
2025-11-03,0,0,0,,,0,0,,0,,observed,
2025-11-04,1,0,0,,,0,0,,0,,observed,
2025-11-05,2,0,0,,,0,0,,0,,observed,
2025-11-06,3,0,0,,,0,0,,0,,observed,
2025-11-07,4,0,0,,,0,0,,0,,observed,
2025-11-08,5,1,0,,,0,0,,0,,observed,
2025-11-09,6,1,0,,,0,0,,0,,observed,
2025-11-10,0,0,0,,,0,0,,0,,observed,
2025-11-11,1,0,0,,,0,0,,0,,observed,
2025-11-12,2,0,0,,,0,0,,0,,observed,
2025-11-13,3,0,0,,,0,0,,0,,observed,
2025-11-14,4,0,0,,,0,0,,0,,observed,
2025-11-15,5,1,0,,,0,0,,0,,observed,
2025-11-16,6,1,0,,,0,0,,0,,observed,
2025-11-17,0,0,0,,,0,0,,0,,observed,
2025-11-18,1,0,0,,,0,0,,0,,observed,
2025-11-19,2,0,0,,,0,0,,0,,observed,
2025-11-20,3,0,0,,,0,0,,0,,observed,
2025-11-21,4,0,0,,,0,0,,0,,observed,
2025-11-22,5,1,0,,,0,0,,0,,observed,
2025-11-23,6,1,0,,,0,0,,0,,observed,
2025-11-24,0,0,0,,,0,0,,0,,observed,
2025-11-25,1,0,0,,,0,0,,0,,observed,
2025-11-26,2,0,0,,,0,0,,0,,observed,
2025-11-27,3,0,0,,,0,0,,0,,observed,
