basket_id,customer_id,zone_code,ts_local,items,amount_aed,daypart,sample
B0000083,C02269,DXB-MOE,2025-09-11T11:00,1,18.0,midday,1
B0000084,C00406,DXB-MAR,2025-09-11T11:00,1,18.0,midday,1
B0000085,C00391,DXB-MOE,2025-09-11T13:00,1,32.0,midday,1
B0000086,C00662,DXB-MOE,2025-09-11T13:00,3,76.0,midday,1
B0000087,C00656,DXB-MOE,2025-09-11T16:00,2,42.0,midday,1
B0000088,C01448,DXB-MAR,2025-09-11T17:00,2,50.0,evening,1
B0000089,C01862,DXB-DEI,2025-09-11T18:00,1,26.0,evening,1
B0000090,C01305,DXB-DEI,2025-09-11T19:00,1,18.0,evening,1
B0000091,C01075,DXB-MAR,2025-09-11T20:00,1,18.0,evening,1
B0000092,C02208,DXB-DTN,2025-09-11T21:00,1,24.0,evening,1
B0000093,C01851,DXB-MOE,2025-09-11T21:00,1,32.0,evening,1
B0000094,C01863,DXB-DTN,2025-09-11T22:00,1,18.0,evening,1
B0000095,C01235,DXB-MAR,2025-09-11T22:00,1,18.0,evening,1
B0000096,C00062,DXB-DEI,2025-09-12T06:00,1,24.0,morning,1
B0000097,C01718,DXB-DEI,2025-09-12T07:00,2,56.0,morning,1
B0000098,C01714,DXB-DEI,2025-09-12T07:00,1,26.0,morning,1
B0000099,C01700,DXB-DEI,2025-09-12T08:00,1,32.0,morning,1
B0000100,C00117,DXB-MOE,2025-09-12T09:00,2,64.0,morning,1
B0000101,C00956,DXB-MAR,2025-09-12T09:00,3,76.0,morning,1
B0000102,C01272,DXB-MAR,2025-09-12T10:00,1,18.0,morning,1
B0000103,C02198,DXB-DTN,2025-09-12T11:00,1,18.0,midday,1
B0000104,C01500,DXB-MAR,2025-09-12T11:00,2,44.0,midday,1
B0000105,C00928,DXB-MOE,2025-09-12T12:00,1,18.0,midday,1
B0000106,C00842,DXB-MOE,2025-09-12T14:00,1,18.0,midday,1
B0000107,C00092,DXB-MAR,2025-09-12T14:00,3,70.0,midday,1
B0000108,C02156,DXB-DTN,2025-09-12T15:00,2,44.0,midday,1
B0000109,C01292,DXB-MOE,2025-09-12T16:00,1,32.0,midday,1
B0000110,C02132,DXB-DTN,2025-09-12T17:00,1,18.0,evening,1
B0000111,C00528,DXB-MAR,2025-09-12T17:00,1,24.0,evening,1
B0000112,C01619,DXB-DTN,2025-09-12T18:00,1,24.0,evening,1
B0000113,C00092,DXB-MAR,2025-09-12T18:00,3,82.0,evening,1
B0000114,C02170,DXB-DEI,2025-09-12T18:00,1,18.0,evening,1
B0000115,C00949,DXB-DTN,2025-09-12T19:00,1,32.0,evening,1
B0000116,C00662,DXB-MAR,2025-09-12T20:00,1,26.0,evening,1
B0000117,C00921,DXB-MAR,2025-09-12T20:00,1,26.0,evening,1
B0000118,C00189,DXB-MOE,2025-09-12T22:00,2,42.0,evening,1
B0000119,C01817,DXB-MAR,2025-09-12T22:00,2,50.0,evening,1
B0000120,C01889,DXB-DEI,2025-09-13T07:00,1,26.0,morning,1
B0000121,C01363,DXB-DEI,2025-09-13T07:00,1,26.0,morning,1
B0000122,C01939,DXB-DTN,2025-09-13T08:00,1,24.0,morning,1
B0000123,C02288,DXB-DTN,2025-09-13T08:00,1,32.0,morning,1
B0000124,C00347,DXB-MAR,2025-09-13T08:00,1,26.0,morning,1
B0000125,C00133,DXB-DEI,2025-09-13T08:00,1,32.0,morning,1
B0000126,C01233,DXB-MAR,2025-09-13T09:00,1,26.0,morning,1
B0000127,C01631,DXB-MAR,2025-09-13T10:00,3,68.0,morning,1
B0000128,C00778,DXB-MOE,2025-09-13T12:00,3,84.0,midday,1
B0000129,C01338,DXB-DTN,2025-09-13T14:00,1,18.0,midday,1
B0000130,C00570,DXB-MOE,2025-09-13T14:00,2,44.0,midday,1
B0000131,C00432,DXB-MOE,2025-09-13T16:00,3,68.0,midday,1
B0000132,C01583,DXB-MAR,2025-09-13T16:00,1,18.0,midday,1
B0000133,C01802,DXB-DTN,2025-09-13T17:00,1,32.0,evening,1
B0000134,C02066,DXB-DTN,2025-09-13T17:00,1,26.0,evening,1
B0000135,C00928,DXB-DTN,2025-09-13T18:00,1,24.0,evening,1
B0000136,C02009,DXB-DTN,2025-09-13T20:00,1,18.0,evening,1
B0000137,C01105,DXB-MOE,2025-09-13T20:00,1,24.0,evening,1
B0000138,C02099,DXB-MOE,2025-09-13T20:00,1,18.0,evening,1
B0000139,C01967,DXB-MOE,2025-09-13T20:00,1,32.0,evening,1
B0000140,C02193,DXB-DTN,2025-09-13T22:00,3,66.0,evening,1
B0000141,C02310,DXB-MAR,2025-09-13T23:00,3,54.0,evening,1
B0000142,C01896,DXB-DEI,2025-09-14T06:00,2,36.0,morning,1
B0000143,C00008,DXB-MAR,2025-09-14T07:00,2,50.0,morning,1
B0000144,C00678,DXB-MOE,2025-09-14T08:00,2,58.0,morning,1
B0000145,C01745,DXB-DEI,2025-09-14T08:00,1,26.0,morning,1
B0000146,C01262,DXB-DEI,2025-09-14T08:00,2,56.0,morning,1
B0000147,C00739,DXB-DTN,2025-09-14T09:00,1,18.0,morning,1
B0000148,C00423,DXB-MOE,2025-09-14T09:00,1,24.0,morning,1
B0000149,C00444,DXB-MOE,2025-09-14T09:00,1,24.0,morning,1
B0000150,C00779,DXB-MAR,2025-09-14T09:00,1,24.0,morning,1
B0000151,C02004,DXB-DEI,2025-09-14T09:00,3,74.0,morning,1
B0000152,C01780,DXB-DTN,2025-09-14T10:00,2,58.0,morning,1
B0000153,C00309,DXB-MOE,2025-09-14T10:00,3,76.0,morning,1
B0000154,C01653,DXB-MOE,2025-09-14T10:00,1,18.0,morning,1
B0000155,C02007,DXB-DTN,2025-09-14T11:00,2,50.0,midday,1
B0000156,C01496,DXB-DTN,2025-09-14T11:00,2,42.0,midday,1
B0000157,C01895,DXB-MOE,2025-09-14T11:00,1,32.0,midday,1
B0000158,C02056,DXB-MOE,2025-09-14T14:00,1,26.0,midday,1
B0000159,C01584,DXB-MOE,2025-09-14T14:00,1,32.0,midday,1
B0000160,C02362,DXB-MAR,2025-09-14T16:00,2,42.0,midday,1
B0000161,C01332,DXB-MOE,2025-09-14T18:00,2,50.0,evening,1
B0000162,C01233,DXB-DEI,2025-09-14T18:00,1,18.0,evening,1
B0000163,C00921,DXB-DEI,2025-09-14T18:00,1,32.0,evening,1
B0000164,C02023,DXB-DTN,2025-09-14T19:00,3,76.0,evening,1
B0000165,C01986,DXB-DTN,2025-09-14T19:00,1,18.0,evening,1
B0000166,C00629,DXB-MOE,2025-09-14T19:00,1,18.0,evening,1
B0000167,C00117,DXB-MAR,2025-09-14T19:00,2,44.0,evening,1
B0000168,C01337,DXB-DEI,2025-09-14T19:00,1,18.0,evening,1
B0000169,C01868,DXB-DEI,2025-09-14T19:00,1,24.0,evening,1
B0000170,C01688,DXB-MAR,2025-09-14T20:00,1,24.0,evening,1
B0000171,C01127,DXB-MAR,2025-09-14T21:00,2,50.0,evening,1
B0000172,C01463,DXB-MAR,2025-09-14T21:00,1,24.0,evening,1
B0000173,C01404,DXB-DTN,2025-09-15T07:00,1,18.0,morning,1
B0000174,C01593,DXB-MAR,2025-09-15T07:00,2,50.0,morning,1
B0000175,C00290,DXB-DTN,2025-09-15T08:00,3,76.0,morning,1
B0000176,C01094,DXB-DTN,2025-09-15T09:00,1,18.0,morning,1
B0000177,C01967,DXB-MAR,2025-09-15T09:00,3,82.0,morning,1
B0000178,C00108,DXB-DEI,2025-09-15T09:00,1,18.0,morning,1
B0000179,C01252,DXB-DTN,2025-09-15T10:00,4,94.0,morning,1
B0000180,C00275,DXB-MOE,2025-09-15T10:00,1,32.0,morning,1
B0000181,C01337,DXB-MOE,2025-09-15T10:00,2,44.0,morning,1
B0000182,C02036,DXB-MOE,2025-09-15T12:00,2,36.0,midday,1
B0000183,C01479,DXB-MOE,2025-09-15T14:00,2,42.0,midday,1
B0000184,C00922,DXB-DTN,2025-09-15T15:00,2,44.0,midday,1
B0000185,C01007,DXB-MAR,2025-09-15T15:00,2,42.0,midday,1
B0000186,C01337,DXB-MOE,2025-09-15T16:00,1,26.0,midday,1
B0000187,C02136,DXB-MOE,2025-09-15T17:00,1,26.0,evening,1
B0000188,C00860,DXB-MOE,2025-09-15T18:00,1,24.0,evening,1
B0000189,C00413,DXB-MOE,2025-09-15T18:00,4,96.0,evening,1
B0000190,C01020,DXB-MAR,2025-09-15T18:00,3,54.0,evening,1
B0000191,C01780,DXB-MOE,2025-09-15T19:00,1,18.0,evening,1
B0000192,C02244,DXB-MAR,2025-09-15T19:00,1,32.0,evening,1
B0000193,C00401,DXB-MOE,2025-09-15T20:00,1,26.0,evening,1
B0000194,C02095,DXB-MOE,2025-09-15T21:00,2,64.0,evening,1
B0000195,C00506,DXB-MOE,2025-09-16T09:00,2,48.0,morning,1
B0000196,C00495,DXB-MOE,2025-09-16T09:00,1,24.0,morning,1
B0000197,C00103,DXB-MAR,2025-09-16T09:00,1,32.0,morning,1
B0000198,C00289,DXB-DTN,2025-09-16T10:00,1,24.0,morning,1
B0000199,C00561,DXB-DTN,2025-09-16T11:00,1,32.0,midday,1
B0000200,C01742,DXB-MOE,2025-09-16T11:00,1,18.0,midday,1
B0000201,C00108,DXB-MOE,2025-09-16T11:00,2,44.0,midday,1
B0000202,C00536,DXB-DTN,2025-09-16T12:00,1,26.0,midday,1
B0000203,C01146,DXB-DTN,2025-09-16T13:00,1,24.0,midday,1
B0000204,C01852,DXB-DTN,2025-09-16T14:00,1,32.0,midday,1
B0000205,C00184,DXB-DTN,2025-09-16T14:00,1,24.0,midday,1
B0000206,C01225,DXB-MOE,2025-09-16T14:00,3,66.0,midday,1
B0000207,C00592,DXB-DEI,2025-09-16T14:00,1,18.0,midday,1
B0000208,C01458,DXB-MOE,2025-09-16T15:00,4,108.0,midday,1
B0000209,C00495,DXB-MOE,2025-09-16T15:00,1,24.0,midday,1
B0000210,C01496,DXB-MOE,2025-09-16T16:00,1,32.0,midday,1
B0000211,C02083,DXB-MOE,2025-09-16T20:00,1,24.0,evening,1
B0000212,C00391,DXB-MOE,2025-09-16T20:00,3,84.0,evening,1
B0000213,C00802,DXB-MAR,2025-09-16T20:00,2,50.0,evening,1
B0000214,C02098,DXB-MOE,2025-09-16T21:00,1,32.0,evening,1
B0000215,C01431,DXB-MOE,2025-09-16T21:00,1,24.0,evening,1
B0000216,C01846,DXB-DTN,2025-09-16T22:00,2,58.0,evening,1
B0000217,C00032,DXB-MOE,2025-09-16T22:00,1,26.0,evening,1
B0000218,C02244,DXB-MOE,2025-09-16T22:00,1,18.0,evening,1
B0000219,C00884,DXB-MOE,2025-09-16T22:00,2,56.0,evening,1
B0000220,C00819,DXB-DEI,2025-09-17T07:00,2,56.0,morning,1
B0000221,C00335,DXB-DTN,2025-09-17T08:00,1,24.0,morning,1
B0000222,C01075,DXB-DEI,2025-09-17T08:00,1,26.0,morning,1
B0000223,C01220,DXB-DTN,2025-09-17T09:00,2,36.0,morning,1
B0000224,C00269,DXB-DTN,2025-09-17T10:00,2,58.0,morning,1
B0000225,C01898,DXB-MOE,2025-09-17T10:00,1,32.0,morning,1
B0000226,C01206,DXB-MOE,2025-09-17T10:00,1,32.0,morning,1
B0000227,C02202,DXB-MAR,2025-09-17T10:00,1,32.0,morning,1
B0000228,C01250,DXB-DEI,2025-09-17T10:00,2,44.0,morning,1
B0000229,C01368,DXB-DTN,2025-09-17T11:00,2,52.0,midday,1
B0000230,C01779,DXB-MOE,2025-09-17T11:00,1,32.0,midday,1
B0000231,C01729,DXB-MOE,2025-09-17T14:00,2,56.0,midday,1
B0000232,C00264,DXB-MOE,2025-09-17T14:00,1,32.0,midday,1
B0000233,C00763,DXB-DEI,2025-09-17T15:00,1,18.0,midday,1
B0000234,C01545,DXB-MAR,2025-09-17T17:00,2,64.0,evening,1
B0000235,C01337,DXB-DTN,2025-09-17T18:00,1,32.0,evening,1
B0000236,C00108,DXB-MAR,2025-09-17T18:00,1,32.0,evening,1
B0000237,C01152,DXB-MOE,2025-09-17T19:00,2,64.0,evening,1
B0000238,C01181,DXB-DTN,2025-09-17T20:00,1,24.0,evening,1
B0000239,C00731,DXB-MOE,2025-09-17T20:00,1,26.0,evening,1
B0000240,C01824,DXB-MAR,2025-09-17T23:00,1,24.0,evening,1
B0000241,C01007,DXB-MOE,2025-09-18T08:00,1,18.0,morning,1
B0000242,C02351,DXB-DEI,2025-09-18T09:00,2,56.0,morning,1
B0000243,C01360,DXB-MOE,2025-09-18T10:00,3,80.0,morning,1
B0000244,C01720,DXB-MOE,2025-09-18T10:00,1,32.0,morning,1
B0000245,C00856,DXB-MAR,2025-09-18T10:00,1,24.0,morning,1
B0000246,C01824,DXB-MOE,2025-09-18T11:00,3,68.0,midday,1
B0000247,C00549,DXB-MOE,2025-09-18T12:00,3,82.0,midday,1
B0000248,C00626,DXB-DEI,2025-09-18T15:00,1,26.0,midday,1
B0000249,C00739,DXB-MOE,2025-09-18T18:00,1,32.0,evening,1
B0000250,C00101,DXB-MOE,2025-09-18T18:00,2,64.0,evening,1
B0000251,C01189,DXB-MAR,2025-09-18T18:00,1,18.0,evening,1
B0000252,C01405,DXB-MOE,2025-09-18T19:00,1,32.0,evening,1
B0000253,C00126,DXB-MAR,2025-09-18T19:00,1,26.0,evening,1
B0000254,C00155,DXB-DTN,2025-09-18T20:00,3,66.0,evening,1
B0000255,C00417,DXB-DEI,2025-09-18T20:00,2,50.0,evening,1
B0000256,C01700,DXB-DEI,2025-09-18T21:00,2,58.0,evening,1
B0000257,C00165,DXB-MAR,2025-09-19T07:00,1,26.0,morning,1
B0000258,C01994,DXB-MOE,2025-09-19T09:00,2,56.0,morning,1
B0000259,C01415,DXB-MAR,2025-09-19T09:00,3,74.0,morning,1
B0000260,C01016,DXB-MAR,2025-09-19T09:00,2,44.0,morning,1
B0000261,C00595,DXB-DTN,2025-09-19T10:00,2,50.0,morning,1
B0000262,C02110,DXB-DEI,2025-09-19T10:00,1,32.0,morning,1
B0000263,C01226,DXB-MOE,2025-09-19T11:00,2,52.0,midday,1
B0000264,C01767,DXB-MOE,2025-09-19T13:00,1,32.0,midday,1
B0000265,C01861,DXB-MAR,2025-09-19T15:00,1,24.0,midday,1
B0000266,C00789,DXB-MOE,2025-09-19T16:00,2,50.0,midday,1
B0000267,C00305,DXB-DEI,2025-09-19T17:00,1,24.0,evening,1
B0000268,C00222,DXB-MAR,2025-09-19T18:00,1,26.0,evening,1
B0000269,C01947,DXB-DEI,2025-09-19T18:00,2,44.0,evening,1
B0000270,C00207,DXB-MOE,2025-09-19T19:00,2,56.0,evening,1
B0000271,C00341,DXB-MAR,2025-09-19T19:00,1,32.0,evening,1
B0000272,C01802,DXB-MOE,2025-09-19T20:00,2,50.0,evening,1
B0000273,C01759,DXB-MAR,2025-09-19T20:00,1,26.0,evening,1
B0000274,C01050,DXB-MAR,2025-09-19T20:00,2,56.0,evening,1
B0000275,C01735,DXB-MAR,2025-09-19T21:00,3,74.0,evening,1
B0000276,C01862,DXB-MAR,2025-09-19T22:00,1,18.0,evening,1
B0000277,C02372,DXB-MAR,2025-09-20T07:00,2,44.0,morning,1
B0000278,C01882,DXB-DEI,2025-09-20T07:00,1,24.0,morning,1
B0000279,C00474,DXB-DTN,2025-09-20T08:00,1,24.0,morning,1
B0000280,C00092,DXB-DEI,2025-09-20T08:00,1,18.0,morning,1
B0000281,C00570,DXB-DTN,2025-09-20T10:00,2,50.0,morning,1
B0000282,C00495,DXB-MOE,2025-09-20T11:00,1,24.0,midday,1
B0000283,C00172,DXB-MOE,2025-09-20T13:00,2,48.0,midday,1
B0000284,C01355,DXB-DEI,2025-09-20T14:00,2,56.0,midday,1
B0000285,C00806,DXB-DTN,2025-09-20T15:00,2,56.0,midday,1
B0000286,C02373,DXB-DTN,2025-09-20T15:00,2,44.0,midday,1
B0000287,C02012,DXB-MOE,2025-09-20T15:00,2,42.0,midday,1
B0000288,C01422,DXB-DEI,2025-09-20T15:00,3,62.0,midday,1
B0000289,C01528,DXB-DTN,2025-09-20T16:00,1,18.0,midday,1
B0000290,C01990,DXB-DEI,2025-09-20T16:00,5,116.0,midday,1
B0000291,C02292,DXB-MOE,2025-09-20T17:00,2,64.0,evening,1
B0000292,C00135,DXB-DTN,2025-09-20T18:00,3,70.0,evening,1
B0000293,C01337,DXB-MOE,2025-09-20T18:00,1,24.0,evening,1
B0000294,C02158,DXB-MAR,2025-09-20T18:00,1,32.0,evening,1
B0000295,C00059,DXB-MOE,2025-09-20T19:00,1,18.0,evening,1
B0000296,C02103,DXB-MOE,2025-09-20T20:00,3,76.0,evening,1
B0000297,C01422,DXB-MAR,2025-09-20T21:00,1,18.0,evening,1
B0000298,C00092,DXB-MAR,2025-09-21T08:00,1,32.0,morning,1
B0000299,C02338,DXB-MOE,2025-09-21T10:00,3,60.0,morning,1
B0000300,C00455,DXB-DEI,2025-09-21T15:00,2,52.0,midday,1
B0000301,C00787,DXB-DTN,2025-09-21T16:00,2,56.0,midday,1
B0000302,C02295,DXB-MOE,2025-09-21T16:00,2,48.0,midday,1
B0000303,C01722,DXB-DEI,2025-09-21T16:00,3,66.0,midday,1
B0000304,C01737,DXB-DEI,2025-09-21T16:00,1,32.0,midday,1
B0000305,C01337,DXB-MOE,2025-09-21T17:00,3,70.0,evening,1
B0000306,C02200,DXB-MOE,2025-09-21T17:00,1,26.0,evening,1
B0000307,C00032,DXB-DTN,2025-09-21T19:00,1,18.0,evening,1
B0000308,C01919,DXB-DTN,2025-09-21T19:00,1,18.0,evening,1
B0000309,C02137,DXB-DTN,2025-09-21T19:00,1,32.0,evening,1
B0000310,C00209,DXB-MOE,2025-09-21T20:00,1,24.0,evening,1
B0000311,C00094,DXB-DEI,2025-09-21T20:00,1,26.0,evening,1
B0000312,C00359,DXB-MOE,2025-09-21T21:00,1,32.0,evening,1
B0000313,C00379,DXB-MAR,2025-09-21T21:00,2,50.0,evening,1
B0000314,C01075,DXB-MAR,2025-09-21T21:00,2,50.0,evening,1
B0000315,C01967,DXB-DTN,2025-09-21T22:00,1,24.0,evening,1
B0000316,C01986,DXB-MAR,2025-09-21T22:00,1,18.0,evening,1
B0000317,C00147,DXB-DTN,2025-09-22T07:00,2,50.0,morning,1
B0000318,C01569,DXB-DTN,2025-09-22T07:00,1,18.0,morning,1
B0000319,C01618,DXB-MAR,2025-09-22T07:00,1,26.0,morning,1
B0000320,C01132,DXB-DEI,2025-09-22T07:00,2,48.0,morning,1
B0000321,C02249,DXB-DTN,2025-09-22T09:00,1,32.0,morning,1
B0000322,C01176,DXB-DTN,2025-09-22T09:00,1,24.0,morning,1
B0000323,C01227,DXB-MAR,2025-09-22T10:00,1,18.0,morning,1
B0000324,C01444,DXB-MOE,2025-09-22T11:00,1,24.0,midday,1
B0000325,C00192,DXB-MOE,2025-09-22T12:00,2,50.0,midday,1
B0000326,C00841,DXB-MOE,2025-09-22T15:00,1,26.0,midday,1
B0000327,C00808,DXB-MOE,2025-09-22T15:00,1,18.0,midday,1
B0000328,C00961,DXB-DEI,2025-09-22T17:00,1,18.0,evening,1
B0000329,C02295,DXB-DEI,2025-09-22T20:00,1,24.0,evening,1
B0000330,C01986,DXB-DEI,2025-09-22T21:00,1,32.0,evening,1
B0000331,C01939,DXB-MAR,2025-09-22T23:00,2,58.0,evening,1
B0000332,C01745,DXB-DEI,2025-09-23T07:00,2,44.0,morning,1
B0000333,C01907,DXB-DTN,2025-09-23T08:00,2,58.0,morning,1
B0000334,C01662,DXB-MAR,2025-09-23T08:00,1,24.0,morning,1
B0000335,C00318,DXB-MAR,2025-09-23T10:00,2,56.0,morning,1
B0000336,C01233,DXB-DEI,2025-09-23T10:00,2,42.0,morning,1
B0000337,C02086,DXB-DTN,2025-09-23T11:00,2,42.0,midday,1
B0000338,C01591,DXB-DTN,2025-09-23T12:00,2,50.0,midday,1
B0000339,C01772,DXB-MOE,2025-09-23T13:00,1,26.0,midday,1
B0000340,C00133,DXB-MOE,2025-09-23T13:00,1,24.0,midday,1
B0000341,C02309,DXB-MOE,2025-09-23T15:00,4,80.0,midday,1
B0000342,C00616,DXB-MAR,2025-09-23T16:00,1,32.0,midday,1
B0000343,C01684,DXB-MAR,2025-09-23T17:00,1,32.0,evening,1
B0000344,C02023,DXB-MOE,2025-09-23T18:00,1,32.0,evening,1
B0000345,C02060,DXB-MAR,2025-09-23T18:00,3,82.0,evening,1
B0000346,C00495,DXB-DEI,2025-09-23T18:00,1,24.0,evening,1
B0000347,C02060,DXB-MAR,2025-09-23T19:00,2,64.0,evening,1
B0000348,C01640,DXB-DTN,2025-09-23T20:00,3,74.0,evening,1
B0000349,C00165,DXB-DTN,2025-09-24T08:00,3,68.0,morning,1
B0000350,C00540,DXB-DTN,2025-09-24T09:00,1,24.0,morning,1
B0000351,C01759,DXB-MAR,2025-09-24T10:00,2,50.0,morning,1
B0000352,C00624,DXB-DEI,2025-09-24T11:00,1,26.0,midday,1
B0000353,C00674,DXB-MOE,2025-09-24T12:00,1,24.0,midday,1
B0000354,C01337,DXB-MOE,2025-09-24T14:00,1,26.0,midday,1
B0000355,C00116,DXB-MOE,2025-09-24T14:00,1,26.0,midday,1
B0000356,C01286,DXB-MOE,2025-09-24T14:00,1,18.0,midday,1
